customer_id,age,income,employment_status,credit_score,loan_amount,interest_rate,loan_duration,debt_to_income_ratio,num_late_payments,loan_status
1,56,67800,Employed,554,46246,28.28,25,13.83,4,1
2,69,60761,Employed,732,23498,29.52,26,19.23,4,1
3,46,114626,Employed,804,4990,23.62,33,30.08,2,0
4,32,138368,Employed,326,18552,27.88,34,29.06,9,1
5,60,194735,Employed,819,2367,24.35,11,22.7,4,0
6,25,100903,Self-Employed,829,12879,27.59,43,56.83,4,0
7,38,191484,Employed,799,10791,5.81,47,36.7,7,0
8,56,138998,Employed,532,9348,28.96,46,42.85,7,1
9,36,186439,Employed,695,28955,9.33,8,47.48,5,1
10,40,156885,Employed,606,5989,18.35,42,37.19,1,1
11,28,79894,Unemployed,809,24679,16.95,22,51.68,8,0
12,28,71444,Unemployed,723,26623,18.24,38,59.24,5,1
13,41,185341,Unemployed,449,34698,21.95,15,29.6,6,0
14,70,81748,Unemployed,691,8342,17.57,42,42.18,6,0
15,53,61190,Employed,789,26700,21.6,38,25.85,4,0
16,57,60318,Employed,346,31770,17.43,33,13.45,9,1
17,41,188090,Employed,611,35049,3.33,28,11.35,3,0
18,20,144078,Unemployed,438,43088,19.94,47,21.63,6,0
19,39,59759,Unemployed,704,29228,17.99,51,18.12,5,1
20,70,36498,Employed,313,44042,18.82,53,46.11,6,1
21,19,45989,Employed,818,15763,3.04,55,33.17,3,0
22,41,176640,Employed,484,17034,15.66,56,37.0,1,0
23,61,137035,Self-Employed,414,38583,26.62,51,14.09,9,1
24,47,86577,Employed,409,17889,11.98,15,10.97,8,1
25,55,125231,Unemployed,580,39991,15.01,13,31.76,6,0
26,19,181171,Employed,842,16390,6.31,21,22.78,3,0
27,38,109900,Employed,385,9416,15.16,48,41.1,1,0
28,50,191711,Unemployed,437,37606,13.69,37,35.58,7,1
29,29,124679,Employed,765,30904,26.84,54,51.42,7,1
30,39,43482,Unemployed,376,37820,3.96,50,51.93,9,1
31,61,89212,Unemployed,436,30090,28.68,30,36.86,7,0
32,42,50048,Employed,396,16856,18.56,42,55.34,2,1
33,66,154137,Unemployed,830,46711,17.3,20,56.64,9,0
34,44,153108,Employed,308,34509,26.93,21,22.22,3,1
35,59,55814,Employed,382,5409,8.16,47,58.87,1,0
36,45,167996,Unemployed,346,29465,8.64,22,59.3,6,1
37,33,149493,Employed,811,22837,26.61,32,13.25,6,0
38,32,80204,Employed,729,16423,28.09,52,10.12,0,0
39,64,52844,Self-Employed,389,39951,25.62,31,12.93,8,1
40,68,101943,Employed,812,10458,4.11,13,27.48,8,0
41,61,41518,Unemployed,713,15696,20.61,46,50.4,4,0
42,72,168131,Unemployed,812,18652,15.18,46,35.23,6,0
43,69,43052,Employed,376,8989,24.81,16,24.81,9,1
44,74,89803,Employed,380,37448,7.27,32,12.75,7,1
45,20,91524,Employed,501,12220,27.85,14,29.79,2,0
46,54,109572,Employed,746,8312,12.06,59,11.81,6,0
47,68,159752,Unemployed,406,32619,11.73,16,18.64,4,1
48,24,87021,Unemployed,591,21431,7.82,12,53.94,3,0
49,38,40043,Employed,611,16927,3.19,33,48.08,9,0
50,26,22419,Employed,816,43013,11.44,35,59.79,1,1
51,56,141831,Self-Employed,725,19027,7.0,41,54.72,6,1
52,35,121799,Employed,714,11220,22.93,56,52.79,6,0
53,21,168212,Unemployed,434,14217,23.43,14,18.74,9,1
54,42,194556,Unemployed,818,8595,25.35,40,42.42,9,0
55,31,196282,Employed,663,43985,3.15,56,40.03,7,1
56,67,77600,Employed,683,32452,12.49,18,55.9,3,1
57,26,136467,Unemployed,331,43990,3.16,53,49.05,9,0
58,43,98497,Employed,839,49580,16.71,9,48.74,1,0
59,70,128611,Employed,786,14492,27.54,15,26.24,2,1
60,19,157559,Unemployed,664,43968,14.01,31,16.22,0,0
61,37,80692,Unemployed,563,13785,26.59,8,28.45,5,0
62,45,82112,Employed,441,27238,28.58,55,20.42,7,1
63,64,182182,Employed,329,40109,9.42,58,46.39,9,1
64,24,36360,Employed,429,20798,3.27,48,32.97,7,1
65,61,103038,Employed,369,1032,22.97,22,21.61,3,0
66,25,23017,Employed,418,40245,18.63,54,42.9,3,0
67,64,106261,Employed,626,36049,12.37,32,13.45,9,1
68,52,86320,Employed,369,49675,12.93,27,55.89,0,1
69,31,51127,Employed,507,5982,5.19,49,38.92,5,1
70,34,154268,Employed,390,16288,26.52,41,33.05,3,1
71,53,95088,Employed,419,30099,9.54,13,22.46,8,1
72,67,192372,Employed,506,2289,5.62,38,37.39,1,1
73,57,51921,Employed,705,22484,24.05,31,24.36,7,0
74,21,24746,Self-Employed,846,18702,16.1,36,29.73,6,0
75,19,88535,Employed,423,18847,23.6,58,54.43,7,1
76,23,85350,Employed,411,18968,27.35,16,19.71,1,0
77,71,101131,Self-Employed,506,17953,13.32,34,27.4,9,0
78,59,42063,Employed,685,49459,4.47,34,42.79,8,0
79,21,137116,Unemployed,446,41805,9.84,43,46.24,3,1
80,71,108913,Employed,431,25726,4.38,42,15.75,0,1
81,46,98946,Employed,403,23150,7.03,20,56.81,5,1
82,35,197043,Employed,541,8468,25.92,59,11.35,3,0
83,43,154670,Employed,630,17728,28.42,56,13.34,1,1
84,61,30564,Employed,448,24862,21.28,20,48.1,0,1
85,51,69725,Employed,468,2659,22.76,12,48.57,5,1
86,27,106134,Employed,383,32926,22.75,54,43.3,7,1
87,53,125940,Self-Employed,819,34701,6.33,58,36.08,2,0
88,31,82085,Employed,406,32890,4.27,34,24.43,9,1
89,48,37862,Employed,564,5716,21.86,38,52.0,7,0
90,65,30265,Employed,330,14032,4.01,51,44.94,8,1
91,32,160777,Employed,846,46322,24.92,56,58.4,1,0
92,25,82471,Unemployed,546,39377,18.96,59,32.72,3,1
93,31,111080,Employed,829,46202,6.06,21,33.53,5,1
94,40,75828,Employed,323,7746,20.8,39,49.57,6,1
95,74,136884,Unemployed,797,15710,19.37,26,59.65,3,0
96,57,128007,Unemployed,603,4575,13.16,12,54.82,3,1
97,38,66104,Employed,697,36319,25.08,49,24.87,6,0
98,33,60934,Employed,702,30914,11.22,34,57.68,6,0
99,62,134420,Employed,615,31190,13.2,14,19.9,6,1
100,35,26050,Employed,577,23049,21.81,54,31.07,4,0
101,64,195024,Employed,841,24562,23.3,12,54.35,3,0
102,70,28484,Employed,442,25549,10.39,19,25.67,5,1
103,41,82648,Self-Employed,709,39148,3.45,35,27.61,6,0
104,43,79945,Employed,655,18395,7.76,29,59.74,9,0
105,42,51323,Employed,823,21550,10.11,56,32.55,8,0
106,62,106332,Employed,502,24715,27.44,39,57.37,4,0
107,58,114605,Employed,549,11500,27.13,13,23.7,5,0
108,46,186433,Employed,402,46751,20.84,6,35.04,4,1
109,32,30315,Employed,767,34628,22.15,39,29.14,4,0
110,62,67968,Employed,334,27010,19.77,25,38.21,2,1
111,18,177591,Employed,623,2439,24.04,36,54.92,0,0
112,42,29107,Employed,831,37184,12.48,20,59.54,1,0
113,24,75781,Employed,567,4953,17.76,20,35.05,6,0
114,26,23869,Employed,352,33609,21.11,56,18.75,3,1
115,41,100983,Employed,317,40528,15.65,39,12.52,9,1
116,18,178442,Employed,403,47433,23.86,10,17.98,2,1
117,61,27971,Employed,451,43421,28.18,59,47.32,3,1
118,25,116805,Unemployed,713,47099,20.92,27,39.72,7,0
119,41,45651,Unemployed,383,24287,5.02,17,47.44,6,1
120,28,76974,Employed,607,40383,19.48,50,57.7,7,1
121,68,43446,Unemployed,450,17545,21.8,36,45.34,0,1
122,34,189180,Employed,848,18441,10.65,59,48.88,0,1
123,25,23823,Unemployed,678,32858,11.69,34,31.36,3,1
124,52,164526,Employed,757,18837,19.08,27,35.57,8,1
125,52,155004,Employed,652,5826,22.09,53,51.16,5,1
126,50,161292,Employed,675,47100,26.53,13,41.95,1,0
127,22,87965,Employed,507,20168,23.59,42,36.77,3,1
128,59,179280,Self-Employed,759,37135,6.62,33,21.06,3,0
129,56,30510,Employed,703,21651,12.4,26,40.14,8,1
130,58,195117,Employed,829,12427,7.02,16,24.56,4,1
131,45,161609,Employed,784,40734,23.44,16,39.51,5,1
132,24,125935,Employed,421,5294,10.19,28,33.19,2,0
133,26,89134,Employed,419,19481,6.33,47,15.09,8,0
134,25,92254,Employed,550,33241,5.6,18,52.86,3,0
135,29,164854,Employed,598,10657,6.09,48,39.07,8,0
136,51,134780,Unemployed,346,24881,9.67,32,55.15,3,1
137,50,145544,Employed,598,36095,24.12,28,56.35,1,1
138,65,85587,Employed,818,5041,9.42,56,35.88,5,0
139,72,102238,Employed,544,3618,10.6,38,43.9,7,1
140,40,95720,Self-Employed,517,16532,26.78,58,54.77,4,1
141,41,98004,Employed,643,13441,14.94,31,44.01,1,1
142,54,42072,Employed,613,17093,16.74,48,22.2,0,0
143,52,101015,Self-Employed,589,35522,3.07,41,22.92,4,0
